,roll_LH,pitch_LH,roll_RH,pitch_RH
0,111.84101635914953,-23.495073575021966,53.137683856604326,-36.25438618253649
1,112.0741759771732,-23.53285070383552,52.91588361006022,-36.172367794654036
2,112.25216306745057,-23.559411149064417,52.75451890486108,-36.102291413789956
3,112.37983172081123,-23.575777357063163,52.64807811734274,-36.04327728541815
4,112.46203602808474,-23.582971774186273,52.59104962384103,-35.99444565501248
5,112.50363008010069,-23.582016846788257,52.5779218006918,-35.95491676804682
6,112.50946796768868,-23.573935021223633,52.603183024230866,-35.923810869995066
7,112.48440378167827,-23.559748743846914,52.661321670794074,-35.900248206331085
8,112.43329161289905,-23.54048046101261,52.746826116717266,-35.88334902252876
9,112.3609855521806,-23.517152619075233,52.854184738336265,-35.87223356406197
10,112.2723396903525,-23.490787664389302,52.97788591198692,-35.86602207640459
11,112.17220811824431,-23.462408043309324,53.11241801400506,-35.8638348050305
12,112.06544492668547,-23.433036202189793,53.25226942072644,-35.864791995413526
13,111.96688353191203,-23.397873380089884,53.36060642067343,-35.85399471271964
14,111.83813159618296,-23.323127516375795,53.72064418740395,-35.79140732326657
15,111.74811786203539,-23.31478600623234,53.635959116447765,-35.850700180025
16,111.79164944030865,-23.336449926903718,53.41478478979984,-35.95320761411303
17,111.7330489389636,-23.418333750580427,53.97146279888341,-35.844165443025666
18,111.72988495341545,-23.353177478428954,53.47861940664678,-35.95364855817266
19,111.60544301580767,-23.31219597373892,54.03802208516031,-35.815205387114766
20,111.71093087328511,-23.400025854281946,53.502351091805636,-35.94126310524185
21,111.78029162414894,-23.325414998814882,53.74365611746095,-35.83878922018102
22,111.69881969540013,-23.234194814350104,53.73676592756293,-35.89801364535407
23,111.77374666662536,-23.282263097310192,53.55656052066392,-35.906427911316214
24,111.83254661442118,-23.32180337533692,53.526589720101775,-35.90928624994995
25,111.8227676882811,-23.32147852873037,53.67069273467307,-35.87757951849912
26,111.79465183070822,-23.318315154403805,53.70496702929511,-35.86607570406307
27,111.72449898903515,-23.32030762675125,53.67656414637414,-35.86131093062225
28,111.66627599382511,-23.318806427842727,53.71092976806292,-35.84298092867008
29,111.65431634848466,-23.312852350692577,53.793338459475,-35.83601773952228
30,111.6492413609204,-23.288424904071125,53.87302303715764,-35.8411048795185
31,111.66574601951646,-23.284257931232784,53.86019444978309,-35.85518143807085
32,111.69852092530768,-23.281362602327942,53.85835360946763,-35.871129105398744
33,111.74046208191396,-23.278494393238066,53.867414482270014,-35.86835340692383
34,111.75056657220924,-23.282068673482144,53.95242903971975,-35.854422337062445
35,111.74808391682579,-23.27988641479882,53.987320018716694,-35.83624309704669
36,111.74182972110574,-23.274306717334124,53.999848349259565,-35.82277736761927
37,111.72913902059848,-23.269954591188583,54.081411706280285,-35.81066322097426
38,111.73457126674602,-23.2645665143572,54.06535955826757,-35.81131868687598
39,111.76001133228831,-23.26725993091277,54.01718965194058,-35.8108647768421
40,111.79408063821543,-23.269738238161878,54.084994813823414,-35.805783105751196
41,111.81175517171953,-23.273015804030464,54.13209171177142,-35.7980092537794
42,111.8186472888907,-23.27327604910767,54.078598474039296,-35.81598275193434
43,111.82750230202844,-23.266597200321463,54.04298810090823,-35.81386346047609
44,111.82746736145803,-23.261445489467047,54.00302487984289,-35.811567487879415
45,111.83935937883724,-23.260122390724735,53.99214832465639,-35.819409606458024
46,111.8454778279627,-23.265878205597527,53.99631535390404,-35.81771593857897
47,111.83326371011825,-23.275009914847896,53.97726966739616,-35.8258708316494
48,111.81879453352776,-23.27568800070206,53.93249479122682,-35.81493408013404
49,111.78836105802323,-23.268837170269787,53.921268129668434,-35.80635276198366
50,111.75139650294736,-23.254702421731334,53.861005162794264,-35.8042993887639
51,111.7273624295868,-23.244212161986244,53.88861093636436,-35.80501949267886
52,111.75599125759804,-23.23610415471113,53.90070205052887,-35.80469140552465
53,111.80430366875748,-23.22218169559762,53.99158745371588,-35.80117726637185
54,111.83876204434907,-23.19909679942821,53.95026280012956,-35.79387097739349
55,111.87005665544797,-23.19929530431451,53.81736776398352,-35.79151162797969
56,111.88427145091907,-23.19199954049439,53.88398374722482,-35.78379647932227
57,111.8796675466932,-23.18778986812133,53.92245596209124,-35.796941042605305
58,111.85171770743398,-23.186302114977025,53.92316572157049,-35.81783049990189
59,111.83395642651126,-23.182282474429954,54.05190669114115,-35.79369690057452
60,111.82254516080381,-23.18905915270587,54.03452721280174,-35.786470155481645
61,111.82927824798439,-23.205059697629938,54.001654203466934,-35.77506416583101
62,111.84312887510119,-23.22200162824597,53.93060435868853,-35.78505146961402
63,111.83049474015692,-23.242392432494043,53.842380373316445,-35.82019803843229
64,111.80108532716534,-23.261554726954774,53.848850707516135,-35.88092583620903
65,111.74853077596286,-23.27924211160592,53.8223597762832,-35.8901076289005
66,111.69200192573693,-23.298015191062436,53.67215070627076,-35.887085184861704
67,111.66388948977934,-23.305517015083154,53.43531643824473,-35.91013753727562
68,111.67746173221653,-23.308139661961665,53.416473629899016,-35.961316561179466
69,111.69997672800933,-23.31640212889826,53.55387583927433,-36.02629689225003
70,111.71099251002504,-23.332314367560617,53.579138832261364,-36.086726568759325
71,111.71315150999582,-23.34623895809119,53.62542235090239,-36.11671419771328
72,111.70235223017251,-23.35739355541996,53.42296972785742,-36.16651678595912
73,111.67580795351142,-23.366002354806348,53.49809575812616,-36.171110956177586
74,111.64068015845066,-23.377786796664733,53.59089066153182,-36.14042742410307
75,111.63584959415816,-23.37903218151631,53.85150463934046,-36.107147132244904
76,111.63138777047726,-23.368510154358365,53.973885447887795,-36.163263777759965
