,roll_LH,pitch_LH,roll_RH,pitch_RH
0,65.16943317969232,-21.34826470395288,235.61917299839507,-21.79085800873515
1,66.10241295200217,-23.856933218977897,154.1655354418292,-23.368604977096922
2,66.92000070806782,-25.884298402881598,82.58184183406911,-24.630574411044513
3,67.62073035936783,-27.467537048077926,20.334929760312775,-25.602585109423707
4,68.2031358173807,-28.643825946980815,-33.108363194241576,-26.31045587108029
5,68.66575099358498,-29.45034189200421,-78.28119944439607,-26.780005494860042
6,69.00710979945916,-29.924261675562043,-115.71674140495253,-27.03705277960875
7,69.22574614648178,-30.102762090068257,-145.94815149071286,-27.107416524172194
8,69.32019394613138,-30.023019927936794,-169.50859211647906,-27.016915527396165
9,69.28898710988648,-29.722211981581584,-186.93122569705315,-26.791368588126442
10,69.1306595492256,-29.237515043416575,-198.74921464723684,-26.456594505208813
11,68.84374517562725,-28.6061059058557,-205.49572138183225,-26.038412077489056
12,68.42677790056993,-27.86516136131289,-207.70390831564103,-25.562640103812946
13,67.69291429902599,-27.180302322478653,-205.5275459533714,-25.250589149730306
14,66.83458292818021,-26.430323658837434,-196.96523702401518,-24.927095428089544
15,65.52847223856836,-25.66753528469377,-182.2648350510381,-24.580476717883947
16,64.12656813478486,-24.91030419113494,-160.0949242210855,-24.189629586802646
17,62.89433078981306,-24.20904268350318,-155.64224216918666,-23.836218812490714
18,61.700947745272046,-23.683261170346526,-151.28725640807994,-23.520049264413146
19,60.42303258397401,-23.370713016633662,-147.39291583219315,-23.30991289683835
20,59.360513942384735,-23.22820079413225,-144.02396686288571,-23.187423898546488
21,58.41047019060413,-23.2517707359521,-141.3738875776904,-23.18337764043294
22,57.91735483238448,-23.424106226942552,-139.91713366549297,-23.35153798908549
23,57.85972255523825,-23.667297039433404,-138.67627246077623,-23.600444906701
24,58.0986550205357,-23.86205844420048,-138.73287527493602,-23.95341324479064
25,59.09754681598515,-24.291018671222027,-138.4708554784225,-24.281943164828785
26,60.35272302669152,-24.82968698558649,-138.6104386119059,-24.579845667447866
27,60.76792668466397,-25.595559584323652,-139.1817865466885,-24.895876270116947
28,61.45101827042807,-26.446746382409444,-157.83227612374873,-25.205510984771035
29,61.993589782172045,-27.243098061775953,-152.26730953490937,-25.341374582346
30,62.710979012197335,-28.082678318159022,-165.44840301248726,-25.348342102623235
31,63.545953744115295,-29.203714766684797,-172.44220161397922,-25.420121935510586
32,63.83307909586903,-30.159468932986698,-174.55600776463467,-25.26468734152884
33,64.74017231664158,-29.837100064973534,-155.9870441066748,-24.696229492122935
34,66.71407789939641,-29.353045953316478,-140.3991292536204,-24.22252325121931
35,65.96269925921102,-29.334496558187336,-128.37979112450594,-23.80523784399186
36,63.932450485877666,-29.60020173626273,-94.68964834250492,-23.562928250872044
37,61.65877283504551,-29.594646300248037,-80.13295431625869,-23.41478425574461
38,59.41740432336033,-29.043809978038905,-68.08342403325226,-23.231511118520782
39,57.29403415965353,-28.087920140582526,-59.00392822261517,-23.05431239271306
40,55.23046150143696,-26.958591767321632,-52.67302224477382,-22.93503591413632
